# Energies_eV	Fe-powdre_3.2mg/cm2
7683.45	1.10725
7684.45	1.10566
7685.45	1.10587
7686.45	1.10775
7687.45	1.10794
7688.45	1.10652
7689.45	1.10444
7690.45	1.10302
7691.45	1.10219
7692.45	1.10188
7693.45	1.10137
7694.45	1.10035
7695.45	1.10108
7696.45	1.10158
7697.45	1.10021
7698.45	1.09924
7699.45	1.09842
7700.45	1.09751
7701.45	1.09684
7702.45	1.09688
7703.45	1.09716
7704.45	1.09721
7705.45	1.09677
7706.45	1.09616
7707.45	1.09444
7708.45	1.09264
7709.45	1.09185
7710.45	1.09182
7711.45	1.09063
7712.45	1.09049
7713.45	1.09071
7714.45	1.09055
7715.45	1.0893
7716.45	1.08878
7717.45	1.08763
7718.45	1.08708
7719.45	1.08777
7720.45	1.0877
7721.45	1.08692
7722.45	1.08514
7723.45	1.08422
7724.45	1.08398
7725.45	1.08362
7726.45	1.08182
7727.45	1.08138
7728.45	1.08157
7729.45	1.08071
7730.45	1.07956
7731.45	1.07951
7732.45	1.08078
7733.45	1.08097
7734.45	1.07938
7735.45	1.07856
7736.45	1.07906
7737.45	1.07829
7738.45	1.07513
7739.45	1.07377
7740.45	1.0742
7741.45	1.0735
7742.45	1.07275
7743.45	1.0741
7744.45	1.07404
7745.45	1.07204
7746.45	1.07241
7747.45	1.07372
7748.45	1.073
7749.45	1.07175
7750.45	1.07173
7751.45	1.07091
7752.45	1.06911
7753.45	1.06911
7754.45	1.06963
7755.45	1.06848
7756.45	1.06855
7757.45	1.06768
7758.45	1.06709
7759.45	1.06725
7760.45	1.0653
7761.45	1.06489
7762.45	1.06455
7763.45	1.06437
7764.45	1.06352
7765.45	1.06112
7766.45	1.06154
7767.45	1.06188
7768.45	1.05964
7769.45	1.05872
7770.45	1.05998
7771.45	1.05918
7772.45	1.05853
7773.45	1.05987
7774.45	1.05885
7775.45	1.05793
7776.45	1.05834
7777.45	1.05807
7778.45	1.05806
7779.45	1.05668
7780.45	1.05439
7781.45	1.05342
7782.45	1.0537
7783.45	1.05364
7784.45	1.05382
7785.45	1.0552
7786.45	1.05396
7787.45	1.05139
7788.45	1.05121
7789.45	1.05041
7790.45	1.04833
7791.45	1.04761
7792.45	1.04723
7793.45	1.04658
7794.45	1.04641
7795.45	1.04783
7796.45	1.04783
7797.45	1.04815
7798.45	1.04851
7799.45	1.04659
7800.45	1.04603
7801.45	1.04568
7802.45	1.04486
7803.45	1.04591
7804.45	1.04663
7805.45	1.04581
7806.45	1.04582
7807.45	1.0446
7808.45	1.04339
7809.45	1.04327
7810.45	1.04237
7811.45	1.04197
7812.45	1.04255
7813.45	1.04323
7814.45	1.04263
7815.45	1.04153
7816.45	1.04058
7817.45	1.03911
7818.45	1.03887
7819.45	1.04016
7820.45	1.0407
7821.45	1.039
7822.45	1.03839
7823.45	1.03942
7824.45	1.03695
7825.45	1.03498
7826.45	1.03543
7827.45	1.03653
7828.45	1.03584
7829.45	1.03403
7830.45	1.03418
7831.45	1.03363
7832.45	1.03329
7833.45	1.03268
7834.45	1.03273
7835.45	1.03261
7836.45	1.03191
7837.45	1.03215
7838.45	1.03164
7839.45	1.0309
7840.45	1.03095
7841.45	1.03056
7842.45	1.02927
7843.45	1.02732
7844.45	1.02734
7845.45	1.02647
7846.45	1.02691
7847.45	1.0284
7848.45	1.02732
7849.45	1.0253
7850.45	1.02423
7851.45	1.02317
7852.45	1.02281
7853.45	1.02285
7854.45	1.02367
7855.45	1.02316
7856.45	1.02199
7857.45	1.02188
7858.45	1.02135
7859.45	1.02174
7860.45	1.02093
7861.45	1.01915
7862.45	1.01833
7863.45	1.01857
7864.45	1.01809
7865.45	1.01823
7866.45	1.01658
7867.45	1.01458
7868.45	1.01531
7869.45	1.01476
7870.45	1.01381
7871.45	1.01354
7872.45	1.01407
7873.45	1.01388
7874.45	1.01441
7875.45	1.01511
7876.45	1.01323
7877.45	1.01188
7878.45	1.01236
7879.45	1.01185
7880.45	1.0126
7881.45	1.01443
7882.45	1.0116
7883.45	1.00775
7884.45	1.00655
7885.45	1.00615
7886.45	1.00748
7887.45	1.00705
7888.45	1.00425
7889.45	1.00312
7890.45	1.00383
7891.45	1.00457
7892.45	1.00502
7893.45	1.00594
7894.45	1.00577
7895.45	1.00358
7896.45	1.00334
7897.45	1.0029
7898.45	1.00155
7899.45	1.00052
7900.45	0.99988
7901.45	0.99969
7902.45	0.9982
7903.45	0.9975
7904.45	0.9967
7905.45	0.99708
7906.45	0.99848
7907.45	0.99897
7908.45	0.99847
7909.45	0.99784
7910.45	0.99635
7911.45	0.997
7912.45	0.99658
7913.45	0.99544
7914.45	0.9946
7915.45	0.9927
7916.45	0.99234
7917.45	0.99137
7918.45	0.99194
7919.45	0.99227
7920.45	0.99151
7921.45	0.99055
7922.45	0.99
7923.45	0.9888
7924.45	0.98836
7925.45	0.98959
7926.45	0.98968
7927.45	0.98905
7928.45	0.9878
7929.45	0.98559
7930.45	0.98699
7931.45	0.98829
7932.45	0.98588
7933.45	0.98493
7934.45	0.98535
7935.45	0.98496
7936.45	0.98623
7937.45	0.98656
7938.45	0.98406
7939.45	0.9853
7940.45	0.9854
7941.45	0.98257
7942.45	0.98185
7943.45	0.98
7944.45	0.97897
7945.45	0.97986
7946.45	0.97886
7947.45	0.97893
7948.45	0.98173
7949.45	0.98229
7950.45	0.97986
7951.45	0.97908
7952.45	0.97856
7953.45	0.97903
7954.45	0.97928
7955.45	0.97653
7956.45	0.97582
7957.45	0.97779
7958.45	0.97729
7959.45	0.97709
7960.45	0.97787
7961.45	0.97619
