# Energies_eV	Pt-foil-5mu
10561.99	1.05884
10562.99	1.06462
10563.99	1.06359
10564.99	1.06222
10565.99	1.06225
10566.99	1.0626
10567.99	1.06323
10568.99	1.06125
10569.99	1.06335
10570.99	1.06386
10571.99	1.06301
10572.99	1.06192
10573.99	1.063
10574.99	1.06194
10575.99	1.05965
10576.99	1.05846
10577.99	1.06205
10578.99	1.06681
10579.99	1.06751
10580.99	1.06094
10581.99	1.0572
10582.99	1.05783
10583.99	1.05699
10584.99	1.05423
10585.99	1.05437
10586.99	1.05718
10587.99	1.05793
10588.99	1.06037
10589.99	1.05847
10590.99	1.05722
10591.99	1.05953
10592.99	1.05938
10593.99	1.05784
10594.99	1.0576
10595.99	1.05872
10596.99	1.05881
10597.99	1.05756
10598.99	1.05875
10599.99	1.0569
10600.99	1.0517
10601.99	1.04956
10602.99	1.05178
10603.99	1.05575
10604.99	1.05304
10605.99	1.05155
10606.99	1.05015
10607.99	1.04763
10608.99	1.04621
10609.99	1.04651
10610.99	1.04563
10611.99	1.04838
10612.99	1.05293
10613.99	1.05445
10614.99	1.0521
10615.99	1.04741
10616.99	1.04555
10617.99	1.04873
10618.99	1.05102
10619.99	1.05265
10620.99	1.04913
10621.99	1.04932
10622.99	1.04973
10623.99	1.04758
10624.99	1.04441
10625.99	1.04271
10626.99	1.04008
10627.99	1.04398
10628.99	1.04901
10629.99	1.04565
10630.99	1.04158
10631.99	1.03909
10632.99	1.04139
10633.99	1.04706
10634.99	1.04894
10635.99	1.04555
10636.99	1.04118
10637.99	1.04155
10638.99	1.04171
10639.99	1.04129
10640.99	1.03809
10641.99	1.03986
10642.99	1.04028
10643.99	1.04175
10644.99	1.04025
10645.99	1.03653
10646.99	1.03801
10647.99	1.03957
10648.99	1.04022
10649.99	1.03878
10650.99	1.0388
10651.99	1.03815
10652.99	1.03654
10653.99	1.03531
10654.99	1.03658
10655.99	1.03683
10656.99	1.03771
10657.99	1.03668
10658.99	1.03586
10659.99	1.03618
10660.99	1.03857
10661.99	1.03783
10662.99	1.03473
10663.99	1.03538
10664.99	1.03522
10665.99	1.0346
10666.99	1.03489
10667.99	1.03522
10668.99	1.03482
10669.99	1.03497
10670.99	1.03618
10671.99	1.03377
10672.99	1.03256
10673.99	1.03335
10674.99	1.03533
10675.99	1.03405
10676.99	1.03623
10677.99	1.03545
10678.99	1.037
10679.99	1.03775
10680.99	1.03568
10681.99	1.03352
10682.99	1.03106
10683.99	1.02876
10684.99	1.02697
10685.99	1.02736
10686.99	1.02902
10687.99	1.02903
10688.99	1.02666
10689.99	1.02531
10690.99	1.02669
10691.99	1.029
10692.99	1.02527
10693.99	1.02309
10694.99	1.02405
10695.99	1.0279
10696.99	1.02812
10697.99	1.02789
10698.99	1.02502
10699.99	1.02386
10700.99	1.02289
10701.99	1.02152
10702.99	1.02314
10703.99	1.02572
10704.99	1.02657
10705.99	1.02285
10706.99	1.01999
10707.99	1.02066
10708.99	1.02341
10709.99	1.02228
10710.99	1.02183
10711.99	1.02158
10712.99	1.02576
10713.99	1.02591
10714.99	1.02271
10715.99	1.0187
10716.99	1.01751
10717.99	1.02162
10718.99	1.01987
10719.99	1.01847
10720.99	1.01714
10721.99	1.01846
10722.99	1.01954
10723.99	1.02127
10724.99	1.0193
10725.99	1.01934
10726.99	1.02041
10727.99	1.02049
10728.99	1.01805
10729.99	1.01433
10730.99	1.01439
10731.99	1.01436
10732.99	1.01354
10733.99	1.0136
10734.99	1.0153
10735.99	1.01329
10736.99	1.0116
10737.99	1.01449
10738.99	1.01951
10739.99	1.02197
10740.99	1.01901
10741.99	1.01554
10742.99	1.0144
10743.99	1.01325
10744.99	1.01176
10745.99	1.01305
10746.99	1.01314
10747.99	1.01427
10748.99	1.01246
10749.99	1.01392
10750.99	1.01577
10751.99	1.01723
10752.99	1.01785
10753.99	1.01671
10754.99	1.01278
10755.99	1.00787
10756.99	1.00677
10757.99	1.00776
10758.99	1.00577
10759.99	1.00816
10760.99	1.01325
10761.99	1.01679
10762.99	1.01393
10763.99	1.01193
10764.99	1.01042
10765.99	1.01117
10766.99	1.0113
10767.99	1.01002
10768.99	1.00908
10769.99	1.00741
10770.99	1.00743
10771.99	1.0071
10772.99	1.00318
10773.99	1.00294
10774.99	1.00369
10775.99	1.00655
10776.99	1.00661
10777.99	1.00742
10778.99	1.0069
10779.99	1.006
10780.99	1.00702
10781.99	1.00881
10782.99	1.00732
10783.99	1.00512
10784.99	1.00372
10785.99	1.0037
10786.99	1.00351
10787.99	1.00388
10788.99	1.00135
10789.99	0.99908
10790.99	0.99848
10791.99	0.99739
10792.99	0.99697
10793.99	0.99854
10794.99	0.99906
10795.99	0.99552
10796.99	0.99593
10797.99	0.99818
10798.99	0.99832
10799.99	0.99717
10800.99	0.99761
10801.99	0.99842
10802.99	0.99541
10803.99	0.99649
10804.99	0.99697
10805.99	0.99791
10806.99	0.99534
10807.99	0.99423
10808.99	0.99322
10809.99	0.99367
10810.99	0.99355
10811.99	0.99187
10812.99	0.98946
10813.99	0.98734
10814.99	0.98958
10815.99	0.98887
10816.99	0.98759
10817.99	0.98973
10818.99	0.99408
10819.99	0.99609
10820.99	0.99558
10821.99	0.99394
10822.99	0.99363
10823.99	0.99144
10824.99	0.99053
10825.99	0.98941
10826.99	0.98905
10827.99	0.99054
10828.99	0.99243
10829.99	0.99231
10830.99	0.99017
10831.99	0.98421
10832.99	0.98266
10833.99	0.98799
10834.99	0.9887
10835.99	0.98627
10836.99	0.98821
10837.99	0.99205
10838.99	0.9945
10839.99	0.99212
10840.99	0.98806
10841.99	0.98438
10842.99	0.98306
10843.99	0.98295
10844.99	0.98454
10845.99	0.98506
10846.99	0.98517
10847.99	0.98418
10848.99	0.98587
10849.99	0.98518
10850.99	0.98405
10851.99	0.98115
10852.99	0.98273
10853.99	0.98394
10854.99	0.9826
