# created: Tue Oct 20 19:07:06 2015
# from file: scan14.txt
# No: 731  [E0: 0,0,0,-1]
#---------------------------------------------------------------------
#       X                  Y
1.9834000000E+001  6.3300092574E-001
1.9838000000E+001  6.3111995795E-001
1.9842000000E+001  6.3025376709E-001
1.9846000000E+001  6.2811055094E-001
1.9850000000E+001  6.2645516090E-001
1.9854000000E+001  6.2488992040E-001
1.9858000000E+001  6.2285133642E-001
1.9862000000E+001  6.2069605280E-001
1.9866000000E+001  6.1959223412E-001
1.9870000000E+001  6.1814884301E-001
1.9874000000E+001  6.1638568011E-001
1.9878000000E+001  6.1460435610E-001
1.9882000000E+001  6.1294463832E-001
1.9886000000E+001  6.1082646979E-001
1.9890000000E+001  6.0960701771E-001
1.9894000000E+001  6.0787529941E-001
1.9898000000E+001  6.0575915589E-001
1.9902000000E+001  6.0402612309E-001
1.9906000000E+001  6.0212021070E-001
1.9910000000E+001  6.0003860307E-001
1.9914000000E+001  5.9781295689E-001
1.9918000000E+001  5.9604965696E-001
1.9922000000E+001  5.9391519616E-001
1.9926000000E+001  5.9180764069E-001
1.9930000000E+001  5.8923554694E-001
1.9934000000E+001  5.8842740126E-001
1.9938000000E+001  5.8653867784E-001
1.9942000000E+001  5.8468193745E-001
1.9946000000E+001  5.8303279094E-001
1.9950000000E+001  5.8095673951E-001
1.9954000000E+001  5.7886894487E-001
1.9958000000E+001  5.7801371209E-001
1.9962000000E+001  5.7599806448E-001
1.9966000000E+001  5.7449567903E-001
1.9970000000E+001  5.7347458424E-001
1.9974000000E+001  5.7049179096E-001
1.9978000000E+001  5.6965124353E-001
1.9982000000E+001  5.6744449972E-001
1.9986000000E+001  5.6664547772E-001
1.9990000000E+001  5.6482780665E-001
1.9994000000E+001  5.6260681708E-001
1.9998000000E+001  5.6101614884E-001
2.0002000000E+001  5.5971143692E-001
2.0006000000E+001  5.5762568515E-001
2.0010000000E+001  5.5632403027E-001
2.0014000000E+001  5.5513554580E-001
2.0018000000E+001  5.5325558820E-001
2.0022000000E+001  5.5038642404E-001
2.0026000000E+001  5.4869401981E-001
2.0030000000E+001  5.4755770610E-001
2.0034000000E+001  5.4626106041E-001
2.0038000000E+001  5.4364668878E-001
2.0042000000E+001  5.4217049720E-001
2.0046000000E+001  5.4031055510E-001
2.0050000000E+001  5.3880619783E-001
2.0054000000E+001  5.3721731671E-001
2.0058000000E+001  5.3595935587E-001
2.0062000000E+001  5.3307791204E-001
2.0066000000E+001  5.3211902125E-001
2.0070000000E+001  5.2982617025E-001
2.0074000000E+001  5.2846188536E-001
2.0078000000E+001  5.2645049592E-001
2.0082000000E+001  5.2581182371E-001
2.0086000000E+001  5.2343577343E-001
2.0090000000E+001  5.2185274931E-001
2.0094000000E+001  5.2001804948E-001
2.0098000000E+001  5.1844044681E-001
2.0102000000E+001  5.1609634873E-001
2.0106000000E+001  5.1501496471E-001
2.0110000000E+001  5.1301728653E-001
2.0114000000E+001  5.1082913106E-001
2.0118000000E+001  5.1039125103E-001
2.0122000000E+001  5.0806877432E-001
2.0126000000E+001  5.0724309415E-001
2.0130000000E+001  5.0546078197E-001
2.0134000000E+001  5.0323267482E-001
2.0138000000E+001  5.0177912307E-001
2.0142000000E+001  5.0005815696E-001
2.0146000000E+001  4.9833246508E-001
2.0150000000E+001  4.9663198636E-001
