# Sample I1 = col 2  I2= col 3, mu = ln(I1/I2), Reference not available
#S 1  zapline mono 16.5279 14.3086 1409 300 
#D Sun Nov 12 17:20:02 2017
#T 300  (ms)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G2 0
#Q 
#P0 -5.7000169 0 0.2 3.3333333e-07 -1425.473 3 14000 -0.1
#P1 9.043 70 0 4.7300003 0.24 0 0 
#P2 43.155625 45.715313 24.684375 88.871 -1.28 9.483477 39.3 -0.377
#P3 -1.2126797 -3.715 -11.937714 16.403923 -2.2549199 10 38 3.9999997
#P4 34.999994 0 35 0.30307037 0.30304712 -0.0002325 0.30305875 57.213563
#P5 1.0493125 76.568551 4.51 1560 29.8325 51.932812 81.7655 -11.05
#P6 74 14.3086 -568939.53 50 20 0.99752498 17 3.6
#P7 -1.92 -0.3 5 0 14.50866 0 0 
#UMI0     Current AutoM      Shutter    
#UMI1      166.15    ON     FE open     
#UMI2 Refill in 13200 sec, Fill Mode: 7/8 multibunch / Message: Nov 12 09:04 Delivery:Next Refill at 21:00; 
#N 18
#ZapEnergy Mon Ion1 Ion2
7.540915 69418 39619 32167 
7.5419397 69415 39678 32390 
7.5429573 69428 39752 32317 
7.5439901 69432 39854 32524 
7.5450177 69453 39984 32589 
7.5460439 69450 40049 32529 
7.5470748 69476 40219 32748 
7.5480986 69527 40278 32741 
7.5491233 69497 40296 32722 
7.5501475 69510 40425 32785 
7.5511823 69546 40457 32903 
7.5522146 69582 40576 32876 
7.5532451 69618 40676 32848 
7.5542731 69630 40721 32904 
7.5553041 69625 40745 33120 
7.556335 69654 40846 33071 
7.5573616 69655 40922 33101 
7.5583839 69685 41014 33231 
7.5594134 69677 41020 33197 
7.5604482 69667 41082 33212 
7.5614786 69743 41215 33466 
7.5625091 69723 41232 33415 
7.5635419 69739 41364 33379 
7.5645757 69728 41444 33391 
7.5656047 69739 41528 33504 
7.5666289 69744 41619 33514 
7.5676584 69782 41594 33451 
7.5686855 69802 41737 33621 
7.5697184 69790 41824 33717 
7.5707536 69807 41861 33764 
7.5717893 69817 41984 33963 
7.5728273 69813 42097 33944 
7.5738564 69805 42182 34015 
7.5748878 69864 42285 34143 
7.575922 69871 42409 34209 
7.5769567 69859 42428 34254 
7.5779891 69867 42555 34346 
7.5790243 69849 42596 34358 
7.5800595 69856 42675 34390 
