# Sample Noprmalized mu = col 2  
# This file has been produced by extranormal (v 1.0.1 - February 23, 2017)
# O. Roudenko - Synchrotron SOLEIL. Covered by GPL licence.
#Data from HDF File: /nfs/ruche-rock/rock-soleil/com-rock/2019/Projets/20191212_Matthias/References/Mo_foil/Mo_foil_00002.nxs to Mo_foil_00051.nxs
#Time at start=2019-12-17 12:08:56.932
#Time from start (seconds)=129.260314251
#Sample temperature (C)=nan
# Normalization -------------
# pivot spectrum: Standard_Mo_s3_100_He_Mo_0001_av1200_00001.txt
# E0=20000.0   Eshift=4.20721580259
# E0_pivot = 20000.0
# pre-edge params: from E0_pivot-250.0 to E0_pivot-60.0
# pre-edge range: [19750.0, 19940.0]
# post-edge params: from E0_pivot+150.0 to E0_pivot+1300.0
# post-edge range: [20150.0, 21300.0]
# I jump at E0_pivot = 1.11007626724
# shifted energy	normalized	reference	ref.derivative
       20060     1.011351     1.564801  0.005809741
     20060.5     1.014138     1.567576  0.005368634
       20061     1.016735      1.57008  0.004928753
     20061.5     1.019056     1.572457  0.004454379
       20062     1.021075     1.574659  0.003930712
     20062.5     1.022809     1.576485  0.003229678
       20063     1.024032     1.577941  0.002293754
     20063.5     1.024811     1.578916  0.001299941
       20064     1.025238     1.579246 0.0002757934
     20064.5     1.025237     1.579085 -0.0007293955
       20065     1.024893     1.578493 -0.001516899
     20065.5     1.024304     1.577458 -0.002111043
       20066     1.023393     1.576212 -0.002624534
     20066.5     1.022197     1.574863 -0.002982669
       20067     1.020842     1.573243 -0.003295258
     20067.5     1.019347     1.571492 -0.003645453
       20068     1.017841     1.569622 -0.003783757
     20068.5     1.016258     1.567572 -0.003903928
       20069     1.014559     1.565676 -0.003971534
     20069.5     1.012896     1.563684 -0.003826364
       20070     1.011241     1.561679 -0.003802249
     20070.5     1.009645     1.559919 -0.003782432
       20071     1.008086     1.558071 -0.003664993
     20071.5     1.006491     1.556119 -0.003571686
       20072     1.004984     1.554349 -0.003380898
     20072.5     1.003683     1.552776  -0.00300273
       20073     1.002552      1.55131  -0.00250181
     20073.5     1.001658     1.550114  -0.00197055
       20074     1.000998     1.549345 -0.001510791
     20074.5     1.000584     1.548834 -0.0008135329
       20075     1.000474     1.548288 -0.0001429836
     20075.5     1.000776     1.548487 0.0006569991
       20076     1.001442     1.549059  0.001759521
     20076.5     1.002531     1.550148  0.002699476
       20077     1.004088     1.551807  0.003648632
     20077.5     1.006075     1.553886  0.004608263
       20078     1.008561     1.556356   0.00559488
     20078.5     1.011512     1.559365  0.006585124
       20079     1.014812     1.562997   0.00752951
     20079.5      1.01845     1.567056  0.008358299
       20080     1.022418     1.571415  0.008943535
     20080.5     1.026662     1.576082  0.009346999
       20081     1.031048     1.580884  0.009536705
     20081.5     1.035561      1.58575  0.009555147
       20082     1.040151     1.590489  0.009506648
     20082.5      1.04459     1.595192  0.009249428
       20083     1.048843     1.599897  0.008864285
     20083.5     1.052838     1.604249  0.008256131
       20084      1.05655     1.608217  0.007310447
     20084.5     1.059809     1.611704   0.00622948
       20085      1.06243     1.614518  0.005049458
     20085.5     1.064547     1.616708  0.003754704
       20086     1.066059     1.618316  0.002386645
     20086.5     1.066909     1.619214 0.0009742717
       20087        1.067     1.619291 -0.0005612035
     20087.5     1.066399     1.618656  -0.00216845
       20088     1.065182     1.617194 -0.003718234
     20088.5     1.063399     1.614877 -0.005246466
