# Sample I1 = col 7  I2= col 8, mu = ln(I1/I2)
# Energy, Theta, XMU, FLUO, REF, FLUO_RAW, I0, I1, I2, I3
1.142839550781250000e+04 1.640931701660156250e+01 -7.563819885253906250e-01 2.161917281257640866e+02 1.606862992048263550e-01 2.079423386641100251e+02 2.943123579025268555e+00 6.270483493804931641e+00 5.339687824249267578e+00 0.000000000000000000e+00
1.142889843750000000e+04 1.640857505798339844e+01 -7.565069198608398438e-01 2.196059851467902888e+02 1.606831550598144531e-01 2.117246127087690866e+02 2.942501544952392578e+00 6.269941329956054688e+00 5.339242935180664062e+00 0.000000000000000000e+00
1.142940136718750000e+04 1.640783309936523438e+01 -7.567124366760253906e-01 2.163762462716102277e+02 1.605385839939117432e-01 2.083567682544766058e+02 2.942069053649902344e+00 6.270308017730712891e+00 5.340326786041259766e+00 0.000000000000000000e+00
1.142990039062500000e+04 1.640709495544433594e+01 -7.568448781967163086e-01 2.055521959001341656e+02 1.604599952697753906e-01 1.981408674986012102e+02 2.942351102828979492e+00 6.271739959716796875e+00 5.341966629028320312e+00 0.000000000000000000e+00
1.143040136718750000e+04 1.640635681152343750e+01 -7.569676041603088379e-01 2.210067857656503634e+02 1.603848636150360107e-01 2.131844453410123776e+02 2.941115140914916992e+00 6.269875049591064453e+00 5.340779304504394531e+00 0.000000000000000000e+00
1.143090527343750000e+04 1.640561294555664062e+01 -7.570381760597229004e-01 2.218085668404236799e+02 1.604220271110534668e-01 2.135246082133139396e+02 2.941112995147705078e+00 6.270312786102294922e+00 5.340953826904296875e+00 0.000000000000000000e+00
1.143140527343750000e+04 1.640487480163574219e+01 -7.571350336074829102e-01 2.249858499340715809e+02 1.604988873004913330e-01 2.169445014692177836e+02 2.940844297409057617e+00 6.270347118377685547e+00 5.340572357177734375e+00 0.000000000000000000e+00
1.143190039062500000e+04 1.640414428710937500e+01 -7.572130560874938965e-01 2.313432597648662181e+02 1.603942960500717163e-01 2.228689238878615981e+02 2.938947200775146484e+00 6.266791343688964844e+00 5.338102340698242188e+00 0.000000000000000000e+00
1.143239843750000000e+04 1.640340995788574219e+01 -7.574972510337829590e-01 2.211176268236143869e+02 1.604456752538681030e-01 2.133189463174248317e+02 2.939260721206665039e+00 6.269241333007812500e+00 5.339914798736572266e+00 0.000000000000000000e+00
1.143290039062500000e+04 1.640266990661621094e+01 -7.577795386314392090e-01 2.171218139994631713e+02 1.604164391756057739e-01 2.089560327847969177e+02 2.938417196273803711e+00 6.269211769104003906e+00 5.340045452117919922e+00 0.000000000000000000e+00
1.143339941406250000e+04 1.640193176269531250e+01 -7.580050826072692871e-01 2.212786931153438559e+02 1.601626574993133545e-01 2.129892116403378282e+02 2.939116001129150391e+00 6.272117137908935547e+00 5.343876361846923828e+00 0.000000000000000000e+00
1.143390234375000000e+04 1.640118980407714844e+01 -7.585167884826660156e-01 2.146150530440369550e+02 1.604260802268981934e-01 2.069186166212295177e+02 2.938353300094604492e+00 6.273698806762695312e+00 5.343816280364990234e+00 0.000000000000000000e+00
1.143440527343750000e+04 1.640044975280761719e+01 -7.586060762405395508e-01 2.026056008304054785e+02 1.604495346546173096e-01 1.953033601568182860e+02 2.939017534255981445e+00 6.275677680969238281e+00 5.345376491546630859e+00 0.000000000000000000e+00
1.143489648437500000e+04 1.639972496032714844e+01 -7.586326599121093750e-01 2.094605288455683478e+02 1.603046357631683350e-01 2.018313377998422595e+02 2.938096761703491211e+00 6.273878097534179688e+00 5.344617843627929688e+00 0.000000000000000000e+00
1.143539355468750000e+04 1.639899253845214844e+01 -7.589488625526428223e-01 2.060293304713924556e+02 1.603199690580368042e-01 1.980979145827615469e+02 2.937941074371337891e+00 6.275529384613037109e+00 5.345942497253417969e+00 0.000000000000000000e+00
1.143589648437500000e+04 1.639825057983398438e+01 -7.588981986045837402e-01 2.263397954859364631e+02 1.603244394063949585e-01 2.181051186722576176e+02 2.938949823379516602e+00 6.277366161346435547e+00 5.347483634948730469e+00 0.000000000000000000e+00
